,before,after
1534,STUDENT,student
1535,AND,and
1536,I,I
1537,SPOTTED,spot
1538,THE,the
1539,SMT,smt
1540,AT,AT
1541,12,12
1542,O'CLOCK,o'clock
1543,;,;
1544,GOING,go
1545,FROM,from
1546,RIGHT,right
1547,TO,TO
1548,LEFT,left
1549,.,.
1550,HE,HE
1551,WAS,wa
1552,BEGINNING,begin
1553,A,A
1554,RIGHT,right
1555,BANK,bank
1556,.,.
1557,WE,WE
1558,CONTINUED,continu
1559,OUR,our
1560,RIGHT,right
1561,BANK,bank
1562,AND,and
1563,PASSED,pass
1564,WELL,well
1565,CLR,clr
1566,.,.
1567,WHEN,when
1568,WE,WE
1569,ARRIVED,arriv
1570,AT,AT
1571,DISPATCH,dispatch
1572,I,I
1573,WAS,wa
1574,INFORMED,inform
1575,THAT,that
1576,THE,the
1577,SMT,smt
1578,HAD,had
1579,CALLED,call
1580,AND,and
1581,RPTED,rpted
1582,A,A
1583,NEAR,near
1584,MISS,miss
1585,.,.
1586,HE,HE
1587,ALSO,also
1588,COMPLAINED,complain
1589,THAT,that
1590,WE,WE
1591,WERE,were
1592,PRACTICING,practic
1593,AEROBATICS,aerobat
1594,IN,IN
1595,A,A
1596,BUSY,busi
1597,AREA,area
1598,.,.
1599,WE,WE
1600,WERE,were
1601,CLR,clr
1602,OF,OF
1603,ALL,all
1604,ATA,ata
1605,'S,'S
1606,;,;
1607,TCA,tca
1608,'S,'S
1609,;,;
1610,CTL,ctl
1611,ZONES,zone
1612,AND,and
1613,WERE,were
1614,MORE,more
1615,THAN,than
1616,4,4
1617,NM,NM
1618,FROM,from
1619,THE,the
1620,NEAREST,nearest
1621,VICTOR,victor
1622,ARWY,arwi
1623,.,.
1624,I,I
1625,DID,did
1626,NOT,not
1627,BELIEVE,believ
1628,THIS,thi
1629,WAS,wa
1630,A,A
1631,NEAR,near
1632,MISS,miss
1633,.,.
1634,NO,NO
1635,UNUSUAL,unusu
1636,ACTION,action
1637,WAS,wa
1638,REQUIRED,requir
1639,TO,TO
1640,AVOID,avoid
1641,THE,the
1642,SMT,smt
1643,.,.
1644,NMAC,nmac
1645,BETWEEN,between
1646,ACR,acr
1647,MLG,mlg
1648,AND,and
1649,GLIDER,glider
1650,.,.
1651,ENRTE,enrt
1652,BOS,bo
1653,DIRECT,direct
1654,MHT,mht
1655,;,;
1656,RADAR,radar
1657,VECTORS,vector
1658,TO,TO
1659,VISUAL,visual
1660,APCH,apch
1661,TO,TO
1662,RWY,rwi
1663,35,35
1664,MHT,mht
1665,;,;
1666,NORMAL,normal
1667,FLT,flt
1668,AND,and
1669,LNDG,lndg
1670,.,.
1671,ENRTE,enrt
1672,TO,TO
1673,MCO,mco
1674,WE,WE
1675,RECEIVED,receiv
1676,AN,AN
1677,ACARS,acar
1678,MESSAGE,messag
1679,FROM,from
1680,OUR,our
1681,OPS,op
1682,TO,TO
1683,CALL,call
1684,MHT,mht
1685,TWR,twr
1686,UPON,upon
1687,ARR,arr
1688,IN,IN
1689,MCO,mco
1690,.,.
1691,THE,the
1692,CAPT,capt
1693,DID,did
1694,SO,SO
1695,AND,and
1696,WAS,wa
1697,TOLD,told
1698,THAT,that
1699,A,A
1700,SAILPLANE,sailplan
1701,IN,IN
1702,TOW,tow
1703,RPTED,rpted
1704,A,A
1705,NEAR,near
1706,MISS,miss
1707,WITH,with
1708,US,US
1709,APPROX,approx
1710,8,8
1711,MI,MI
1712,SE,SE
1713,OF,OF
1714,MHT,mht
1715,.,.
1716,HE,HE
1717,WAS,wa
1718,ALSO,also
1719,TOLD,told
1720,THAT,that
1721,THE,the
1722,TOW,tow
1723,PLANE,plane
1724,SAW,saw
1725,AND,and
1726,RPTED,rpted
1727,NOTHING,noth
1728,.,.
1729,FROM,from
1730,HIS,hi
1731,(,(
1732,THE,the
1733,SAILPLANE,sailplan
1734,PLT,plt
1735,),)
1736,RPT,rpt
1737,;,;
1738,WE,WE
1739,ESTIMATE,estim
1740,BEING,be
1741,4000,4000
1742,','
1743,.,.
1744,OUR,our
1745,FINAL,final
1746,CRUISE,cruis
1747,ALT,alt
1748,FROM,from
1749,BOS,bo
1750,WAS,wa
1751,7000,7000
1752,','
1753,MSL,msl
1754,.,.
1755,WE,WE
1756,SAW,saw
1757,NOTHING,noth
1758,AND,and
1759,TOOK,took
1760,NO,NO
1761,EVASIVE,evas
1762,ACTION,action
1763,.,.
1764,I,I
1765,WOULD,would
1766,LIKE,like
1767,TO,TO
1768,MENTION,mention
1769,THAT,that
1770,THE,the
1771,CAPT,capt
1772,DID,did
1773,RPT,rpt
1774,A,A
1775,SAILPLANE,sailplan
1776,THAT,that
1777,HE,HE
1778,SPOTTED,spot
1779,WELL,well
1780,BELOW,below
1781,US,US
1782,--,--
1783,IN,IN
1784,FACT,fact
1785,;,;
1786,BELOW,below
1787,THE,the
1788,3800,3800
1789,','
1790,BROKEN,broken
1791,LAYER,layer
1792,WE,WE
1793,WERE,were
1794,ABOVE,abov
1795,AT,AT
1796,A,A
1797,POINT,point
1798,INSIDE,insid
1799,THE,the
1800,MHT,mht
1801,CTL,ctl
1802,ZONE,zone
1803,WHILE,while
1804,WE,WE
1805,WERE,were
1806,ON,ON
1807,A,A
1808,VECTOR,vector
1809,FOR,for
1810,THE,the
1811,VISUAL,visual
1812,APCH,apch
1813,TO,TO
1814,RWY,rwi
1815,35,35
1816,MHT,mht
1817,.,.
1818,HE,HE
1819,DID,did
1820,NOT,not
1821,SEE,see
1822,A,A
1823,TOWPLANE,towplan
1824,THOUGH,though
1825,;,;
1826,ONLY,onli
1827,THE,the
1828,SAILPLANE,sailplan
1829,.,.
1830,CALLBACK,callback
1831,CONVERSATION,convers
1832,WITH,with
1833,RPTR,rptr
1834,REVEALED,reveal
1835,THE,the
1836,FOLLOWING,follow
1837,:,:
1838,FLT,flt
1839,CREW,crew
1840,HAS,ha
1841,HEARD,heard
1842,NOTHING,noth
1843,FURTHER,further
1844,FROM,from
1845,THE,the
1846,INCIDENT,incid
1847,.,.
1848,THE,the
1849,GLIDER,glider
1850,PLT,plt
1851,THAT,that
1852,FILED,file
1853,RPT,rpt
1854,SAID,said
1855,HE,HE
1856,FELT,felt
1857,THE,the
1858,JET,jet
1859,WASH,wash
1860,SO,SO
1861,THAT,that
1862,COULD,could
1863,HAVE,have
1864,BEEN,been
1865,SOME,some
1866,DISTANCE,distanc
1867,AFTER,after
1868,JET,jet
1869,PASSED,pass
1870,.,.
1871,RPTR,rptr
1872,SAID,said
1873,GLIDER,glider
1874,PLT,plt
1875,MAY,may
1876,HAVE,have
1877,RECONSIDERED,reconsid
1878,FILING,file
1879,NMAC,nmac
1880,AS,AS
1881,WAS,wa
1882,IN,IN
1883,AREA,area
1884,WHERE,where
1885,DID,did
1886,NOT,not
1887,BELONG,belong
1888,.,.
1889,THIS,thi
1890,RPT,rpt
1891,WAS,wa
1892,FILED,file
1893,IN,IN
1894,CASE,case
1895,WE,WE
1896,GET,get
1897,MORE,more
1898,FROM,from
1899,SAME,same
1900,AREA,area
1901,.,.
1902,LGT,lgt
1903,ON,ON
1904,IFR,ifr
1905,ARR,arr
1906,ROUTE,rout
1907,WAS,wa
1908,GIVEN,given
1909,TRAFFIC,traffic
1910,ON,ON
1911,UNK-SMT,unk-smt
1912,B,B
1913,WHO,who
1914,LATER,later
1915,TOOK,took
1916,EVASIVE,evas
1917,ACTION,action
1918,MISS,miss
1919,THE,the
1920,LGT,lgt
1921,.,.
1922,I,I
1923,WAS,wa
1924,FLYING,fli
1925,THE,the
1926,ACFT,acft
1927,AT,AT
1928,11000,11000
1929,','
1930,MSL,msl
1931,LEVEL,level
1932,FLT,flt
1933,AIRSPD,airspd
1934,250,250
1935,KTS,kt
1936,.,.
1937,THE,the
1938,CAPT,capt
1939,WAS,wa
1940,WORKING,work
1941,THE,the
1942,RADIOS,radio
1943,.,.
1944,ATC,atc
1945,ADVISED,advis
1946,;,;
1947,'TFC,'tfc
1948,10-11,10-11
1949,O'CLOCK,o'clock
1950,;,;
1951,6,6
1952,MI,MI
1953,;,;
1954,10000,10000
1955,','
1956,SWBOUND,swbound
1957,;,;
1958,UNVERIFIED,unverifi
1959,.,.
1960,','
1961,OUR,our
1962,CREW,crew
1963,THOUGHT,thought
1964,IT,IT
1965,STRANGE,strang
1966,THAT,that
1967,THE,the
1968,TFC,tfc
1969,WAS,wa
1970,NOT,not
1971,AT,AT
1972,A,A
1973,VFR,vfr
1974,ALT,alt
1975,.,.
1976,WE,WE
1977,ALL,all
1978,LOOKED,look
1979,FOR,for
1980,THE,the
1981,TFC,tfc
1982,.,.
1983,ATC,atc
1984,:,:
1985,'TFC,'tfc
1986,NOW,now
1987,(,(
1988,BROKEN,broken
1989,XMISSION,xmission
1990,),)
1991,MI,MI
1992,10500,10500
1993,','
1994,TURNING,turn
1995,WBOUND,wbound
1996,.,.
1997,','
1998,S/O,s/o
1999,OR,OR
2000,JUMPSEAT,jumpseat
2001,RIDER,rider
2002,:,:
2003,'THERE,'there
2004,;,;
2005,11,11
2006,O'CLOCK,o'clock
2007,;,;
2008,JUST,just
2009,ABOVE,abov
2010,THE,the
2011,HORIZON,horizon
2012,.,.
2013,','
2014,THE,the
2015,CAPT,capt
2016,STATED,state
2017,;,;
2018,'WATCH,'watch
2019,HIM,him
2020,;,;
2021,HE,HE
2022,'S,'S
2023,CLBING,clbing
2024,.,.
2025,','
2026,THE,the
2027,ACFT,acft
2028,APPEARED,appear
2029,TO,TO
2030,BE,BE
2031,A,A
2032,LIGHT,light
2033,TWIN,twin
2034,ENG,eng
2035,ACFT,acft
2036,.,.
2037,ATC,atc
2038,:,:
2039,'10700,'10700
2040,.,.
2041,','
2042,THE,the
2043,ACFT,acft
2044,WAS,wa
2045,WINGS,wing
2046,LEVEL,level
2047,OFF,off
2048,THE,the
2049,LEFT,left
2050,SIDE,side
2051,OF,OF
2052,OUR,our
2053,ACFT,acft
2054,;,;
2055,AT,AT
2056,WHAT,what
2057,LOOKED,look
2058,LIKE,like
2059,THE,the
2060,SAME,same
2061,ALT,alt
2062,.,.
2063,I,I
2064,WAS,wa
2065,ABOUT,about
2066,TO,TO
2067,TAKE,take
2068,EVASIVE,evas
2069,ACTION,action
2070,WHEN,when
2071,I,I
2072,SAW,saw
2073,THE,the
2074,LIGHT,light
2075,TWIN,twin
2076,MAKE,make
2077,A,A
2078,VERY,veri
2079,STEEP,steep
2080,RIGHT,right
2081,TURN,turn
2082,.,.
2083,THE,the
2084,CAPT,capt
2085,STATED,state
2086,;,;
2087,'HE,'he
2088,'S,'S
2089,GOING,go
2090,TO,TO
2091,MISS,miss
2092,US,US
2093,!,!
2094,','
2095,THE,the
2096,ACFT,acft
2097,PASSED,pass
2098,OFF,off
2099,THE,the
2100,LEFT,left
2101,SIDE,side
2102,OF,OF
2103,OUR,our
2104,ACFT,acft
2105,.,.
2106,THE,the
2107,CAPT,capt
2108,STATED,state
2109,TO,TO
2110,BOS,bo
2111,CENTER,center
2112,;,;
2113,'DAMN,'damn
2114,;,;
2115,THAT,that
2116,WAS,wa
2117,TOO,too
2118,CLOSE,close
2119,.,.
2120,','
2121,ATC,atc
2122,RESPONDED,respond
2123,THAT,that
2124,'HE,'he
2125,HOPED,hope
2126,THE,the
2127,TARGET,target
2128,HAD,had
2129,US,US
2130,VISUALLY,visual
2131,.,.
2132,','
2133,I,I
2134,FEEL,feel
2135,BOS,bo
2136,CENTER,center
2137,FELT,felt
2138,;,;
2139,ON,ON
2140,THE,the
2141,FIRST,first
2142,CALLOUT,callout
2143,;,;
2144,THAT,that
2145,THERE,there
2146,WOULD,would
2147,NOT,not
2148,BE,BE
2149,A,A
2150,CONFLICT,conflict
2151,WITH,with
2152,THE,the
2153,TFC,tfc
2154,.,.
2155,ATC,atc
2156,REALIZED,realiz
2157,THE,the
2158,PROB,prob
2159,WHEN,when
2160,THE,the
2161,TARGET,target
2162,TURNED,turn
2163,WBOUND,wbound
2164,AND,and
2165,BEGAN,began
2166,TO,TO
2167,CLB,clb
2168,.,.
2169,I,I
2170,DO,DO
2171,N'T,n't
2172,THINK,think
2173,ATC,atc
2174,HAD,had
2175,TIME,time
2176,TO,TO
2177,VECTOR,vector
2178,US,US
2179,AWAY,away
2180,FROM,from
2181,THE,the
2182,TFC,tfc
2183,AND,and
2184,THAT,that
2185,HE,HE
2186,DID,did
2187,THE,the
2188,PROPER,proper
2189,THING,thing
2190,BY,BY
2191,KEEPING,keep
2192,US,US
2193,INFORMED,inform
2194,OF,OF
2195,THE,the
2196,TARGET,target
2197,'S,'S
2198,ALT,alt
2199,AND,and
2200,HDG,hdg
2201,.,.
2202,SUPPLEMENTAL,supplement
2203,INFO,info
2204,FROM,from
2205,ACN,acn
2206,85767,85767
2207,:,:
2208,ATC,atc
2209,:,:
2210,'10700,'10700
2211,','
2212,;,;
2213,','
2214,TARGET,target
2215,NOT,not
2216,IDENTED,ident
2217,BY,BY
2218,HEAD,head
2219,ON,ON
2220,PROFILE,profil
2221,AS,AS
2222,A,A
2223,LIGHT,light
2224,TWIN,twin
2225,;,;
2226,WINGS,wing
2227,LEVEL,level
2228,AT,AT
2229,LEFT,left
2230,SIDE,side
2231,OF,OF
2232,MY,MY
2233,WINDSHIELD,windshield
2234,AT,AT
2235,OUR,our
2236,ALT,alt
2237,.,.
2238,I,I
2239,REACHED,reach
2240,FOR,for
2241,THE,the
2242,YOKE,yoke
2243,TO,TO
2244,BREAK,break
2245,RIGHT,right
2246,;,;
2247,(,(
2248,F/O,f/o
2249,STATED,state
2250,LATER,later
2251,HE,HE
2252,WAS,wa
2253,ABOUT,about
2254,TO,TO
2255,ALSO,also
2256,),)
2257,BUT,but
2258,SAW,saw
2259,THE,the
2260,TWIN,twin
2261,MAKE,make
2262,A,A
2263,VERY,veri
2264,STEEP,steep
2265,RIGHT,right
2266,BANK,bank
2267,;,;
2268,AND,and
2269,I,I
2270,STATED,state
2271,;,;
2272,'HE,'he
2273,'S,'S
2274,GOING,go
2275,TO,TO
2276,MISS,miss
2277,US,US
2278,!,!
2279,','
2280,TWIN,twin
2281,PASSED,pass
2282,MY,MY
2283,LEFT,left
2284,SLIDING,slide
2285,WINDOW,window
2286,SHOWING,show
2287,US,US
2288,HIS,hi
2289,UNDERSIDE,undersid
2290,.,.
2291,AS,AS
2292,I,I
2293,FOLLOWED,follow
2294,THE,the
2295,SMT,smt
2296,Y,Y
2297,LOOKING,look
2298,AFT,aft
2299,;,;
2300,HE,HE
2301,APPEARED,appear
2302,TO,TO
2303,LEVEL,level
2304,HIS,hi
2305,WINGS,wing
2306,AND,and
2307,APPEARED,appear
2308,TO,TO
2309,PASS,pass
2310,BEHIND,behind
2311,US,US
2312,.,.
2313,I,I
2314,STATED,state
2315,TO,TO
2316,ATC,atc
2317,;,;
2318,'DAMN,'damn
2319,;,;
2320,THAT,that
2321,WAS,wa
2322,TOO,too
2323,CLOSE,close
2324,;,;
2325,','
2326,AND,and
2327,ATC,atc
2328,ANSWERED,answer
2329,TO,TO
2330,THE,the
2331,EFFECT,effect
2332,THAT,that
2333,HE,HE
2334,HAD,had
2335,HOPED,hope
2336,THE,the
2337,TARGET,target
2338,HAD,had
2339,US,US
2340,VISUALLY,visual
2341,.,.
2342,I,I
2343,BELIEVE,believ
2344,THAT,that
2345,ATC,atc
2346,FELT,felt
2347,;,;
2348,THE,the
2349,SAME,same
2350,AS,AS
2351,I,I
2352,DID,did
2353,;,;
2354,THAT,that
2355,ON,ON
2356,THE,the
2357,FIRST,first
2358,CALLOUT,callout
2359,THERE,there
2360,WOULD,would
2361,BE,BE
2362,NO,NO
2363,CONFLICT,conflict
2364,;,;
2365,(,(
2366,IE,IE
2367,;,;
2368,THE,the
2369,SMT,smt
2370,Y,Y
2371,HDG,hdg
2372,SW,SW
2373,WOULD,would
2374,PUT,put
2375,HIM,him
2376,FAR,far
2377,TO,TO
2378,OUR,our
2379,RIGHT,right
2380,WHEN,when
2381,OUR,our
2382,PATHS,path
2383,CONVERGED,converg
2384,),)
2385,.,.
2386,HE,HE
2387,REALIZED,realiz
2388,THE,the
2389,PROB,prob
2390,WHEN,when
2391,HE,HE
2392,SAW,saw
2393,THE,the
2394,TARGET,target
2395,TURN,turn
2396,W,W
2397,AND,and
2398,CLB,clb
2399,;,;
2400,BUT,but
2401,DID,did
2402,NOT,not
2403,HAVE,have
2404,TIME,time
2405,TO,TO
2406,VECTOR,vector
2407,US,US
2408,.,.
2409,I,I
2410,FEEL,feel
2411,THAT,that
2412,HIS,hi
2413,ACTION,action
2414,IN,IN
2415,KEEPING,keep
2416,US,US
2417,INFORMED,inform
2418,WAS,wa
2419,ABOUT,about
2420,ALL,all
2421,HE,HE
2422,COULD,could
2423,DO,DO
2424,.,.
2425,LGT,lgt
2426,AND,and
2427,SMT,smt
2428,HAVE,have
2429,NEAR,near
2430,MIDAIR,midair
2431,COLLISION,collis
2432,.,.
2433,WE,WE
2434,WERE,were
2435,DSNDED,dsnded
2436,DOWN,down
2437,TO,TO
2438,4000,4000
2439,','
2440,MSL,msl
2441,.,.
2442,DSCNT,dscnt
2443,CHKLIST,chklist
2444,WERE,were
2445,COMPLETE,complet
2446,;,;
2447,ALTIMETERS,altimet
2448,SET,set
2449,TO,TO
2450,BDL,bdl
2451,SETTINGS,set
2452,.,.
2453,CAPT,capt
2454,'S,'S
2455,AND,and
2456,COPLT,coplt
2457,'S,'S
2458,ALTIMETERS,altimet
2459,WERE,were
2460,WITHIN,within
2461,+/-25,+/-25
2462,','
2463,.,.
2464,WHILE,while
2465,LEVEL,level
2466,AT,AT
2467,4000,4000
2468,','
2469,APPROX,approx
2470,3,3
2471,MI,MI
2472,S,S
2473,OF,OF
2474,ARPT,arpt
2475,;,;
2476,APCH,apch
2477,CALLED,call
2478,TFC,tfc
2479,11:30-12,11:30-12
2480,O'CLOCK,o'clock
2481,POS,po
2482,;,;
2483,3500,3500
2484,','
2485,AND,and
2486,2,2
2487,MI,MI
2488,.,.
2489,WE,WE
2490,RESPONDED,respond
2491,;,;
2492,'NO,'no
2493,JOY,joy
2494,.,.
2495,','
2496,30,30
2497,SECS,sec
2498,LATER,later
2499,WE,WE
2500,;,;
2501,COPLT,coplt
2502,AND,and
2503,MYSELF,myself
2504,;,;
2505,SPOTTED,spot
2506,TFC,tfc
2507,12,12
2508,O'CLOCK,o'clock
2509,AT,AT
2510,OUR,our
2511,ALT,alt
2512,LESS,less
2513,THAN,than
2514,1000,1000
2515,','
2516,PASSING,pass
2517,W,W
2518,TO,TO
2519,E.,E.
2520,WE,WE
2521,HARDBANKED,hardbank
2522,LEFT,left
2523,;,;
2524,HE,HE
2525,DID,did
2526,THE,the
2527,SAME,same
2528,;,;
2529,PASSING,pass
2530,OFF,off
2531,RIGHT,right
2532,WING,wing
2533,TIP,tip
2534,.,.
2535,APCH,apch
2536,ASKED,ask
2537,THE,the
2538,ACFT,acft
2539,;,;
2540,A,A
2541,TWIN,twin
2542,ENG,eng
2543,SMT,smt
2544,;,;
2545,WHAT,what
2546,HIS,hi
2547,ALT,alt
2548,WAS,wa
2549,.,.
2550,NO,NO
2551,ANSWER,answer
2552,.,.
2553,HE,HE
2554,ASKED,ask
2555,AGAIN,again
2556,;,;
2557,NO,NO
2558,ANSWER,answer
2559,.,.
2560,WE,WE
2561,WERE,were
2562,SWITCHED,switch
2563,OVER,over
2564,TO,TO
2565,TWR,twr
2566,CTL,ctl
2567,AND,and
2568,HEARD,heard
2569,NOTHING,noth
2570,MORE,more
2571,.,.
2572,FLT,flt
2573,CREWS,crew
2574,FIRST,first
2575,LEG,leg
2576,TOGETHER,togeth
2577,WITH,with
2578,NO,NO
2579,PROBS,prob
2580,.,.
2581,THE,the
2582,WX,WX
2583,WAS,wa
2584,A,A
2585,LOW,low
2586,LYING,ly
2587,HAZE,haze
2588,;,;
2589,TOPS,top
2590,ABOUT,about
2591,2000,2000
2592,','
2593,.,.
2594,WHY,whi
2595,THEN,then
2596,DID,did
2597,N'T,n't
2598,WE,WE
2599,SEE,see
2600,THE,the
2601,TFC,tfc
2602,?,?
2603,THREE,three
2604,SETS,set
2605,OF,OF
2606,EYES,eye
2607,WERE,were
2608,LOOKING,look
2609,FOR,for
2610,HIM,him
2611,.,.
2612,BETTER,better
2613,YET,yet
2614,;,;
2615,WHY,whi
2616,DID,did
2617,N'T,n't
2618,HE,HE
2619,SEE,see
2620,US,US
2621,?,?
2622,ALL,all
2623,LIGHTS,light
2624,WERE,were
2625,ON,ON
2626,ON,ON
2627,A,A
2628,FAIRLY,fairli
2629,LARGE,larg
2630,ACFT,acft
2631,(,(
2632,LGT,lgt
2633,),)
2634,?,?
2635,CORRECTIVE,correct
2636,ACTION,action
2637,TO,TO
2638,THE,the
2639,LEFT,left
2640,BECAUSE,becaus
2641,OF,OF
2642,HIS,hi
2643,DIRECTION,direct
2644,OF,OF
2645,FLT,flt
2646,.,.
2647,IF,IF
2648,WE,WE
2649,TURNED,turn
2650,RIGHT,right
2651,IT,IT
2652,WOULD,would
2653,HAVE,have
2654,BEEN,been
2655,DISASTROUS,disastr
2656,.,.
2657,IT,IT
2658,SEEMS,seem
2659,A,A
2660,TCA,tca
2661,WOULD,would
2662,HAVE,have
2663,DEFINITELY,definit
2664,HELPED,help
2665,.,.
2666,I,I
2667,THINK,think
2668,ATC,atc
2669,IS,IS
2670,CUTTING,cut
2671,ACFT,acft
2672,TOO,too
2673,CLOSE,close
2674,TO,TO
2675,ACCOMMODATE,accommod
2676,TOO,too
2677,MANY,mani
2678,ACFT,acft
2679,AT,AT
2680,ONE,one
2681,TIME,time
2682,--,--
2683,ESPECIALLY,especi
2684,GA,GA
2685,AND,and
2686,TRANSPORT,transport
2687,.,.
2688,THEY,they
2689,MUST,must
2690,REMEMBER,rememb
2691,WHO,who
2692,PAYS,pay
2693,TO,TO
2694,USE,use
2695,THE,the
2696,ARPTS,arpt
2697,AND,and
2698,GIVE,give
2699,PRIORITY,prioriti
2700,TO,TO
2701,THE,the
2702,TRANSPORTS,transport
2703,.,.
2704,LET,let
2705,'S,'S
2706,RECOMMEND,recommend
2707,TO,TO
2708,KEEP,keep
2709,THE,the
2710,F/E,f/e
2711,'S,'S
2712,POS,po
2713,FOR,for
2714,IF,IF
2715,EVEN,even
2716,THE,the
2717,SIMPLE,simpl
2718,FACT,fact
2719,OF,OF
2720,3,3
2721,SETS,set
2722,OF,OF
2723,EYES,eye
2724,ARE,are
2725,BETTER,better
2726,THAN,than
2727,2,2
2728,.,.
2729,IN,IN
2730,THIS,thi
2731,CASE,case
2732,;,;
2733,IT,IT
2734,PROBABLY,probabl
2735,WOULD,would
2736,HAVE,have
2737,ENDED,end
2738,IN,IN
2739,TRAGEDY,tragedi
2740,W/O,w/o
2741,ONE,one
2742,.,.
2743,CLOSE,close
2744,PROX,prox
2745,ACR,acr
2746,MLG,mlg
2747,AND,and
2748,UNK,unk
2749,ON,ON
2750,ILS,il
2751,APCH,apch
2752,TO,TO
2753,BDL,bdl
2754,.,.
2755,APCH,apch
2756,SAID,said
2757,TO,TO
2758,SLOW,slow
2759,TO,TO
2760,210K,210k
2761,.,.
2762,WE,WE
2763,ASKED,ask
2764,FOR,for
2765,A,A
2766,LOWER,lower
2767,ALT,alt
2768,;,;
2769,APCH,apch
2770,SAID,said
2771,AFTER,after
2772,SLOWING,slow
2773,;,;
2774,DESCEND,descend
2775,TO,TO
2776,5000,5000
2777,','
2778,.,.
2779,APCH,apch
2780,LATER,later
2781,SAID,said
2782,HE,HE
2783,WOULD,would
2784,'BOX,'box
2785,US,US
2786,IN,IN
2787,FROM,from
2788,THE,the
2789,NORTH,north
2790,SIDE,side
2791,','
2792,.,.
2793,I,I
2794,SAW,saw
2795,ANOTHER,anoth
2796,ACFT,acft
2797,COMING,come
2798,FROM,from
2799,THE,the
2800,LEFT,left
2801,;,;
2802,(,(
2803,WHO,who
2804,WAS,wa
2805,ON,ON
2806,LOC,loc
2807,AT,AT
2808,5000,5000
2809,),)
2810,I,I
2811,ASKED,ask
2812,APCH,apch
2813,SEVERAL,sever
2814,TIMES,time
2815,ABOUT,about
2816,THIS,thi
2817,OTHER,other
2818,ACFT,acft
2819,;,;
2820,BUT,but
2821,HE,HE
2822,WAS,wa
2823,TOO,too
2824,BUSY,busi
2825,TO,TO
2826,RESPOND,respond
2827,.,.
2828,ONCE,onc
2829,HE,HE
2830,DID,did
2831,RESPOND,respond
2832,HE,HE
2833,ABRUPTLY,abruptli
2834,SAID,said
2835,MAINTAIN,maintain
2836,6000'.WE,6000'.we
2837,WERE,were
2838,AT,AT
2839,5600,5600
2840,','
2841,DESCENDING,descend
2842,AND,and
2843,CLIMBED,climb
2844,BACK,back
2845,TO,TO
2846,6000,6000
2847,','
2848,.,.
2849,MY,MY
2850,GUESS,guess
2851,IS,IS
2852,THAT,that
2853,MOST,most
2854,ACFT,acft
2855,WERE,were
2856,DESCENDING,descend
2857,TO,TO
2858,5000,5000
2859,AND,and
2860,WHEN,when
2861,GIVING,give
2862,US,US
2863,THAT,that
2864,CLRNC,clrnc
2865,THE,the
2866,CTLR,ctlr
2867,DID,did
2868,NOT,not
2869,EXPECT,expect
2870,TO,TO
2871,HAVE,have
2872,TO,TO
2873,SEND,send
2874,US,US
2875,THROUGH,through
2876,THE,the
2877,LOC,loc
2878,.,.
2879,ACR-MLG,acr-mlg
2880,BEING,be
2881,VECTORED,vector
2882,FOR,for
2883,VISUAL,visual
2884,APCH,apch
2885,WAS,wa
2886,DESCENDED,descend
2887,BELOW,below
2888,MVA,mva
2889,AND,and
2890,INTO,into
2891,CONFLICT,conflict
2892,WITH,with
2893,ACR-LGT,acr-lgt
2894,ON,ON
2895,ILS,il
2896,APCH,apch
2897,.,.
2898,THE,the
2899,WX,WX
2900,WAS,wa
2901,RPTED,rpted
2902,VFR,vfr
2903,20,20
2904,SCATTERED,scatter
2905,;,;
2906,250,250
2907,SCATTERED,scatter
2908,.,.
2909,ONE,one
2910,ACFT,acft
2911,VECTORED,vector
2912,FOR,for
2913,ILS,il
2914,4R,4R
2915,;,;
2916,THE,the
2917,OTHER,other
2918,VECTORED,vector
2919,FOR,for
2920,VISUAL,visual
2921,APCH,apch
2922,TO,TO
2923,4L,4L
2924,.,.
2925,CLOUD,cloud
2926,LAYER,layer
2927,MOVED,move
2928,IN,IN
2929,.,.
2930,THE,the
2931,SEVERITY,sever
2932,OF,OF
2933,THE,the
2934,CLOUD,cloud
2935,LAYER,layer
2936,WAS,wa
2937,NOT,not
2938,MADE,made
2939,CLEAR,clear
2940,.,.
2941,ATC,atc
2942,WAS,wa
2943,MISTAKEN,mistaken
2944,AS,AS
2945,TO,TO
2946,THE,the
2947,VMA,vma
2948,IN,IN
2949,THE,the
2950,AREA,area
2951,AND,and
2952,DSNDED,dsnded
2953,ACFT,acft
2954,ON,ON
2955,VISUAL,visual
2956,APCH,apch
2957,TO,TO
2958,WHAT,what
2959,HE,HE
2960,THOUGHT,thought
2961,WAS,wa
2962,MVA,mva
2963,IN,IN
2964,ORDER,order
2965,TO,TO
2966,GET,get
2967,BELOW,below
2968,CLOUDS,cloud
2969,.,.
2970,THE,the
2971,SEP,sep
2972,BTWN,btwn
2973,ACFT,acft
2974,ON,ON
2975,VISUAL,visual
2976,APCH,apch
2977,AND,and
2978,ACFT,acft
2979,ON,ON
2980,ILS,il
2981,APCH,apch
2982,WAS,wa
2983,SUBSEQUENTLY,subsequ
2984,LOST,lost
2985,.,.
2986,THIS,thi
2987,INFO,info
2988,CAME,came
2989,TO,TO
2990,LIGHT,light
2991,AFTER,after
2992,NTAP,ntap
2993,.,.
2994,IN,IN
2995,THE,the
2996,CTLR,ctlr
2997,'S,'S
2998,JUDGEMENT,judgement
2999,;,;
